Flow ID,Completion Time,ReceivedBytes,PacketsSent
1699,26416059415,2016000,557
1703,24365076920,2016000,515
1707,24884824915,2016000,524
1711,25333591842,2016000,534
1715,25407471721,2016000,536
1719,24573727190,2016000,517
1723,25129681197,2016000,530
1727,24599631982,2016000,519
1731,24375605646,2016000,514
1735,24569860066,2016000,517
1739,24993486084,2016000,527
1743,24636675667,2016000,519
1747,25065362115,2016000,528
1751,25377574402,2016000,536
1755,24354948404,2016000,513
1759,25191552706,2016000,531
1763,24860820274,2016000,524
1767,24227899445,2016000,510
1771,24137465970,2016000,510
1775,24049631618,2016000,508
1779,24733681355,2016000,521
1783,25301058071,2016000,535
1787,25443070430,2016000,537
1791,25054521126,2016000,529
1795,25707306508,2016000,542
1799,24942241870,2016000,526
1803,25349633335,2016000,535
1807,24965180152,2016000,527
1811,24250889045,2016000,512
1815,24758604572,2016000,522
1819,24605225532,2016000,519
1823,24205381288,2016000,510
1827,24965440168,2016000,526
1831,24480614260,2016000,518
1835,24540473791,2016000,518
1839,24922819732,2016000,525
1843,24573809592,2016000,519
1847,24241551467,2016000,511
1851,24815064852,2016000,523
1855,24181774254,2016000,510
1859,24884318339,2016000,525
1863,26421906073,2016000,558
1867,24152310057,2016000,510
1871,25264191912,2016000,533
1875,24550898323,2016000,517
1879,24173899927,2016000,510
1883,25258425854,2016000,533
1887,24975210259,2016000,527
1891,24474435822,2016000,516
1895,24279359481,2016000,512
1899,24468282260,2016000,517
1903,24625182060,2016000,519
1907,24843361904,2016000,523
1911,24331366134,2016000,514
1915,24953226912,2016000,527
1919,25526355893,2016000,538
1923,24415786103,2016000,516
1927,25046097205,2016000,528
1931,24851759834,2016000,525
1935,24928039624,2016000,525
1939,24695384857,2016000,521
1943,25068394247,2016000,528
1947,24005124080,2016000,507
1951,24222572711,2016000,512
1955,25449342242,2016000,537
1959,24541591657,2016000,518
1963,24912154024,2016000,525
1967,24384599078,2016000,514
1971,24969911784,2016000,527
1975,24879747244,2016000,525
1979,24783765298,2016000,523
1983,24527753542,2016000,518
1987,24392337453,2016000,514
1991,24349990004,2016000,513
1995,24604550597,2016000,519
1999,24495352656,2016000,516
2003,24464487338,2016000,516
2007,24491136730,2016000,516
2011,24969605471,2016000,527
2015,24923913259,2016000,526
2019,24692510773,2016000,521
2023,24202042348,2016000,511
2027,24538106925,2016000,517
2031,25366940118,2016000,535
2035,24505176319,2016000,517
2039,25122091569,2016000,530
2043,25700056632,2016000,541
2047,24468518103,2016000,516
2051,24656504433,2016000,520
2055,24383356780,2016000,514
2059,24664977025,2016000,520
2063,24843399826,2016000,523
2067,25510251052,2016000,538
2071,25082406558,2016000,529
2075,24024667388,2016000,506
2079,25066439795,2016000,528
2083,24848354459,2016000,525
2087,25912095012,2016000,546
2091,24654510141,2016000,519
2095,25569330160,2016000,540
2099,24228623511,2016000,511
2103,24422608248,2016000,515
2107,24892867995,2016000,525
2111,24145274272,2016000,509
2115,24370379008,2016000,514
2119,25166653650,2016000,531
2123,24818717910,2016000,523
2127,24819624141,2016000,523
2131,24309565933,2016000,513
2135,24428652676,2016000,515
2139,23835514026,2016000,504
2143,24444908629,2016000,516
2147,24362116211,2016000,514
2151,24725348177,2016000,521
2155,24387128355,2016000,514
2159,25283913954,2016000,533
2163,25283323690,2016000,533
2167,24273414791,2016000,512
2171,24489557674,2016000,517
2175,24015434792,2016000,508
2179,25210623617,2016000,531
2183,24390355389,2016000,515
2187,26083613785,2016000,550
2191,24562632388,2016000,518
2195,24940541651,2016000,526
2199,24682805307,2016000,521
2203,24843708722,2016000,525
2207,24642569138,2016000,520
2211,24830803101,2016000,524
2215,24630279645,2016000,519
2219,26869936467,2016000,566
2223,24952933676,2016000,527
2227,24802742688,2016000,524
2231,25492531751,2016000,538
2235,24676054845,2016000,520
2239,24346032637,2016000,514
2243,24800443124,2016000,523
2247,24736283687,2016000,521
2251,24564430364,2016000,518
2255,24977563717,2016000,527
2259,25103979401,2016000,528
2263,25151951994,2016000,531
2267,26526467699,2016000,559
2271,25184934057,2016000,532
2275,24765440478,2016000,523
2279,25497234333,2016000,538
2283,25382345212,2016000,536
2287,25496631264,2016000,536
2291,25463831208,2016000,537
2295,24808772494,2016000,523
2299,24571300112,2016000,518
2303,24662724557,2016000,520
2307,24506032278,2016000,518
2311,24392851089,2016000,514
2315,25127640063,2016000,531
2319,25177420244,2016000,531
2323,25672351251,2016000,541
2327,24362916174,2016000,514
2331,24483819035,2016000,516
2335,24767666136,2016000,522
2339,26165883780,2016000,552
2343,24747030210,2016000,523
2347,24230382993,2016000,511
2351,25535877881,2016000,539
2355,25254684697,2016000,533
2359,26308986021,2016000,555
2363,24560974966,2016000,518
2367,24328594458,2016000,513
2371,24703864140,2016000,521
2375,24879048184,2016000,524
2379,26671248832,2016000,562
2383,25219934368,2016000,532
2387,25450176540,2016000,537
2391,25077654219,2016000,530
2395,24209891550,2016000,511
2399,24249508010,2016000,511
2403,24397084758,2016000,514
2407,25080389602,2016000,529
2411,27565118448,2016000,580
2415,24851851776,2016000,524
2419,24881697863,2016000,525
2423,24760711090,2016000,522
2427,24180868685,2016000,510
2431,24767354957,2016000,523
2435,25175831767,2016000,532
2439,24450428621,2016000,515
2443,24330273958,2016000,513
2447,24603965544,2016000,518
2451,25104618335,2016000,529
2455,24286988044,2016000,512
2459,24630621296,2016000,519
2463,24150507506,2016000,510
2467,24331604603,2016000,513
2471,25063162356,2016000,529
2475,25750891581,2016000,543
2479,24679164017,2016000,519
2483,25771420891,2016000,543
2487,25143028204,2016000,530
2491,24581719298,2016000,519
2495,24314013726,2016000,514
2499,24783370674,2016000,523
2503,25670390478,2016000,541
2507,24134190230,2016000,509
2511,24535660998,2016000,517
2515,24806654962,2016000,523
2519,25469121020,2016000,537
2523,24645273330,2016000,519
2527,24923288326,2016000,526
2531,24665846775,2016000,521
2535,24770955420,2016000,522
2539,26750220787,2016000,564
2543,24584448730,2016000,519
2547,24169512246,2016000,509
2551,24139137201,2016000,510
2555,25238002511,2016000,532
2559,25457625386,2016000,537
2563,24353836667,2016000,514
2567,24873463388,2016000,526
2571,24245437334,2016000,511
2575,24220294195,2016000,511
2579,25923588447,2016000,547
2583,24816848413,2016000,523
2587,24312780301,2016000,513
2591,24424924687,2016000,515
2595,24837372622,2016000,524
2599,24852703067,2016000,525
2603,26192222750,2016000,552
2607,24656267214,2016000,520
2611,24580222807,2016000,518
2615,24757966272,2016000,523
2619,24341933364,2016000,514
2623,25582090163,2016000,540
2627,24559262158,2016000,518
2631,25500862776,2016000,538
2635,24323195963,2016000,514
2639,24315966574,2016000,512
2643,25276085458,2016000,533
2647,26254785161,2016000,553
2651,24246006973,2016000,511
2655,24420161337,2016000,515
2659,25667099113,2016000,541
2663,24428515068,2016000,515
2667,24476929114,2016000,516
2671,24147108137,2016000,510
2675,24776282679,2016000,523
2679,24861969071,2016000,525
2683,24256324094,2016000,511
2687,24282536410,2016000,512
2691,26703706719,2016000,563
2695,24266770954,2016000,512
2699,24113525074,2016000,508
2703,24336121056,2016000,513
2707,24752858970,2016000,522
2711,24337533414,2016000,513
2715,25256111790,2016000,533
2719,24661491552,2016000,521
2723,25864280973,2016000,545
2727,24663014691,2016000,520
2731,25187737280,2016000,531
2735,24749450760,2016000,522
2739,24953879269,2016000,527
2743,24408075882,2016000,515
2747,24911778199,2016000,525
2751,25625491012,2016000,541
2755,25036459395,2016000,528
2759,24537971564,2016000,518
2763,24376595117,2016000,514
2767,26480964894,2016000,558
2771,24769337518,2016000,523
2775,24772452211,2016000,522
2779,25276319454,2016000,533
2783,25233698738,2016000,532
2787,25515265734,2016000,537
2791,24919160233,2016000,526
2795,24472842320,2016000,516
2799,25135659436,2016000,530
2803,24379942346,2016000,514
2807,24937326608,2016000,526
2811,24336588665,2016000,513
2815,25594978630,2016000,539
2819,24717122607,2016000,521
2823,25945928843,2016000,547
2827,25046501991,2016000,529
2831,24570452045,2016000,518
2835,25381497659,2016000,535
2839,24593338453,2016000,519
2843,24887418737,2016000,524
2847,25516401280,2016000,538
2851,24536105996,2016000,518
2855,24499688613,2016000,516
2859,24482106566,2016000,515
2863,24919977301,2016000,526
2867,24989172056,2016000,527
2871,24455212828,2016000,515
2875,25341160983,2016000,535
2879,25365947934,2016000,535
2883,24939591044,2016000,526
2887,24522467354,2016000,517
2891,24554988043,2016000,518
2895,24332794549,2016000,514
2899,25285947302,2016000,533
2903,25794720377,2016000,543
2907,24904725998,2016000,526
2911,24613948499,2016000,520
2915,24517683354,2016000,517
2919,24269367268,2016000,512
2923,25048258645,2016000,528
2927,24303534706,2016000,514
2931,24020425500,2016000,507
2935,25010014781,2016000,528
2939,25468711517,2016000,538
2943,24080776649,2016000,507
2947,25530929276,2016000,537
2951,25170182392,2016000,530
2955,24687571301,2016000,520
2959,25125166023,2016000,530
2963,24445497156,2016000,516
2967,24897769554,2016000,525
2971,24980193423,2016000,527
2975,24410403291,2016000,515
2979,24614137476,2016000,519
2983,26367047678,2016000,556
2987,25033459784,2016000,529
2991,24976041381,2016000,526
2995,24983873564,2016000,526
2999,24802263181,2016000,523
3003,25893726122,2016000,546
3007,24490848636,2016000,515
3011,24327270828,2016000,514
3015,24849981869,2016000,524
3019,24067591005,2016000,507
