Flow ID,Completion Time,ReceivedBytes,PacketsSent
1699,24919945342,2016000,526
1703,24629199171,2016000,519
1707,25313253794,2016000,534
1711,24475320201,2016000,516
1715,24987855705,2016000,527
1719,24671260552,2016000,521
1723,24218445684,2016000,510
1727,24456104335,2016000,517
1731,24817695405,2016000,523
1735,24962130619,2016000,526
1739,25157629946,2016000,530
1743,25423859462,2016000,536
1747,24556906716,2016000,517
1751,24735966094,2016000,522
1755,24150115590,2016000,510
1759,24758526235,2016000,522
1763,24935407573,2016000,526
1767,24541417511,2016000,517
1771,25332288377,2016000,534
1775,25655666368,2016000,541
1779,25137117275,2016000,530
1783,25500971779,2016000,538
1787,24312979465,2016000,513
1791,24454122488,2016000,517
1795,27457560504,2016000,579
1799,24454607196,2016000,515
1803,24871016342,2016000,525
1807,25232362993,2016000,532
1811,24518809438,2016000,517
1815,25050062345,2016000,528
1819,24583127667,2016000,519
1823,25098383690,2016000,530
1827,24133726798,2016000,510
1831,24643134269,2016000,519
1835,25532246721,2016000,538
1839,25918732473,2016000,547
1843,24825463935,2016000,524
1847,24744362821,2016000,522
1851,24545632438,2016000,518
1855,24690315033,2016000,520
1859,25216036447,2016000,532
1863,24514784441,2016000,517
1867,24261058832,2016000,513
1871,24299071107,2016000,512
1875,24294087218,2016000,512
1879,25541314871,2016000,539
1883,25874162140,2016000,546
1887,25101405730,2016000,528
1891,24996459362,2016000,528
1895,24525527313,2016000,517
1899,25269898462,2016000,533
1903,25067966606,2016000,528
1907,25138290794,2016000,531
1911,24349673324,2016000,514
1915,24337651793,2016000,513
1919,24470931883,2016000,516
1923,25242935194,2016000,533
1927,24485762150,2016000,517
1931,24629943823,2016000,518
1935,24801841445,2016000,522
1939,24360977292,2016000,514
1943,24123609049,2016000,509
1947,24625572602,2016000,519
1951,24464786992,2016000,516
1955,24872775387,2016000,524
1959,24766234916,2016000,523
1963,25075719760,2016000,529
1967,25846284905,2016000,544
1971,24304706915,2016000,511
1975,24894131443,2016000,525
1979,25005504212,2016000,527
1983,24360135062,2016000,515
1987,24654989689,2016000,520
1991,25480500040,2016000,538
1995,25240057020,2016000,532
1999,24771870586,2016000,522
2003,24564917841,2016000,517
2007,24235460980,2016000,512
2011,24975986669,2016000,526
2015,25117421789,2016000,530
2019,25825544454,2016000,543
2023,24342260834,2016000,514
2027,25992548254,2016000,547
2031,24279043638,2016000,511
2035,26007260247,2016000,548
2039,24562551965,2016000,518
2043,24253656460,2016000,512
2047,24822904034,2016000,523
2051,24792069507,2016000,523
2055,24686541693,2016000,520
2059,24996662803,2024000,527
2063,24621204512,2016000,520
2067,24576186126,2016000,518
2071,25010312970,2016000,528
2075,24031361335,2016000,507
2079,24306934214,2016000,512
2083,25388685269,2016000,536
2087,24790610753,2016000,523
2091,24349785472,2016000,514
2095,24538340099,2016000,518
2099,25565412883,2016000,539
2103,24493468351,2016000,518
2107,24558196898,2016000,518
2111,25162859544,2016000,530
2115,24803354819,2016000,524
2119,24766473794,2016000,523
2123,24432851346,2016000,515
2127,24193490513,2016000,510
2131,24448475420,2016000,515
2135,24521759255,2016000,517
2139,24111244810,2016000,509
2143,24467691491,2016000,516
2147,24911652674,2016000,526
2151,24570971396,2016000,519
2155,25002536283,2016000,527
2159,24423560177,2016000,515
2163,25726251989,2016000,542
2167,25047519118,2016000,527
2171,25248902057,2016000,533
2175,24296203893,2016000,513
2179,24752498977,2016000,522
2183,24287484068,2016000,513
2187,24216919232,2016000,511
2191,25104778352,2016000,529
2195,25324753230,2016000,536
2199,25072256951,2016000,529
2203,24846738973,2016000,524
2207,24179163426,2016000,510
2211,25199554188,2016000,531
2215,25139999818,2016000,531
2219,25202845209,2016000,532
2223,24480009646,2016000,517
2227,24669696194,2016000,520
2231,24799163820,2016000,523
2235,24696984174,2016000,520
2239,24754599433,2016000,521
2243,24766103074,2016000,522
2247,25067580801,2016000,529
2251,26208916388,2016000,553
2255,24788000200,2016000,523
2259,24814562498,2016000,522
2263,25268385088,2016000,533
2267,24689462120,2016000,520
2271,24512007363,2016000,517
2275,24830044684,2016000,524
2279,24181565044,2016000,510
2283,24390922392,2016000,515
2287,24896340221,2016000,525
2291,25201618238,2016000,531
2295,24809835520,2016000,524
2299,24602870645,2016000,519
2303,24972654127,2016000,526
2307,24841999938,2016000,523
2311,24410876515,2016000,516
2315,25362048430,2016000,535
2319,24876676000,2016000,525
2323,24869762554,2016000,525
2327,26296429872,2016000,554
2331,25118199262,2016000,530
2335,24818979573,2016000,524
2339,24363289499,2016000,513
2343,24314882898,2016000,513
2347,25388465618,2016000,537
2351,24220011674,2016000,511
2355,24716343574,2016000,521
2359,25345685883,2016000,534
2363,24969115509,2016000,527
2367,24092638273,2016000,508
2371,25162720767,2016000,531
2375,24604285355,2016000,519
2379,24858151678,2016000,525
2383,24042386417,2016000,507
2387,25995325472,2016000,549
2391,24604630196,2016000,519
2395,24207809765,2016000,512
2399,24228945286,2016000,511
2403,24976976476,2016000,527
2407,25891715153,2016000,545
2411,25565605085,2016000,539
2415,24328557582,2016000,512
2419,24462103405,2016000,515
2423,24218560128,2016000,511
2427,24080097291,2016000,508
2431,25834765935,2016000,545
2435,24718665434,2016000,521
2439,24544252915,2016000,517
2443,25245584084,2016000,534
2447,25290723751,2016000,533
2451,25234980720,2016000,532
2455,25005044556,2016000,528
2459,24254561379,2016000,512
2463,24952859460,2016000,527
2467,24327816798,2016000,512
2471,24319602018,2016000,513
2475,24480205175,2016000,516
2479,25404378411,2016000,536
2483,24386605029,2016000,514
2487,24983352203,2016000,527
2491,25075263434,2016000,529
2495,24751806533,2016000,523
2499,24296813318,2016000,512
2503,25147355737,2016000,530
2507,24260695669,2016000,513
2511,24607096720,2016000,519
2515,25661593788,2016000,541
2519,24329957504,2016000,513
2523,24805616070,2016000,523
2527,24486850259,2016000,516
2531,24631403265,2016000,520
2535,24380282502,2016000,515
2539,25070842765,2016000,529
2543,25936176114,2016000,548
2547,24473945255,2016000,515
2551,25045821087,2016000,529
2555,24918355351,2016000,526
2559,24522332643,2016000,519
2563,24826311635,2016000,524
2567,24254978860,2016000,512
2571,24416710902,2016000,514
2575,24698992246,2016000,521
2579,24552507461,2016000,518
2583,24490446749,2016000,517
2587,24336205829,2016000,514
2591,24649872310,2016000,520
2595,25001761308,2016000,527
2599,25363166252,2016000,536
2603,24693808958,2016000,521
2607,25067028972,2016000,529
2611,25906445149,2016000,546
2615,24597623884,2016000,519
2619,24497822668,2016000,517
2623,24546242530,2016000,518
2627,25157666735,2016000,532
2631,25113782006,2016000,530
2635,24388959516,2016000,515
2639,24986604593,2016000,527
2643,24910484633,2016000,526
2647,25501296903,2016000,538
2651,24744502151,2016000,522
2655,24637960363,2016000,519
2659,25288389398,2016000,533
2663,24731032317,2016000,521
2667,25045594448,2016000,529
2671,24450588966,2016000,516
2675,24157224845,2016000,509
2679,25245006950,2016000,533
2683,24172206311,2016000,510
2687,24442212801,2016000,516
2691,25015811883,2016000,526
2695,24255965531,2016000,511
2699,25105171377,2016000,529
2703,24221822836,2016000,511
2707,24102283215,2016000,508
2711,24538132079,2016000,517
2715,25356653912,2016000,534
2719,25127720669,2016000,532
2723,24836112344,2016000,524
2727,24924981928,2016000,525
2731,25018202250,2016000,528
2735,24374389299,2016000,514
2739,24518057477,2016000,517
2743,24986119553,2016000,527
2747,24387451849,2016000,515
2751,24452310724,2016000,516
2755,24591573577,2016000,518
2759,25065919601,2016000,528
2763,25195253612,2016000,532
2767,24429510124,2016000,515
2771,24902284403,2016000,525
2775,25187097180,2016000,531
2779,24938855555,2016000,526
2783,24621880111,2016000,519
2787,24364673820,2016000,514
2791,24276462132,2016000,513
2795,24529342945,2016000,518
2799,26582744256,2016000,560
2803,25195512078,2016000,532
2807,24959723896,2016000,526
2811,24914327293,2016000,525
2815,24559285606,2016000,518
2819,25805889088,2016000,544
2823,25295923038,2016000,535
2827,26110166547,2016000,551
2831,26149810730,2016000,552
2835,24928652574,2016000,525
2839,24822807628,2016000,522
2843,25360902620,2016000,536
2847,25072477156,2016000,529
2851,24622319852,2016000,519
2855,24816279562,2016000,523
2859,25167173276,2016000,531
2863,24465190892,2016000,516
2867,24699716360,2016000,520
2871,25102024315,2016000,530
2875,24255766241,2016000,512
2879,24524807423,2016000,518
2883,24650904062,2016000,520
2887,25416009920,2016000,537
2891,24868469537,2016000,525
2895,24298696801,2016000,513
2899,24816432804,2016000,523
2903,25410072421,2016000,536
2907,24555176918,2016000,517
2911,25040638759,2016000,529
2915,24754513661,2016000,523
2919,24325364463,2016000,514
2923,24957874508,2016000,526
2927,24613072036,2016000,520
2931,24222082646,2016000,511
2935,24704747597,2016000,523
2939,24918929878,2016000,526
2943,24216252546,2016000,510
2947,24637327014,2016000,519
2951,24849444220,2016000,524
2955,25797129616,2016000,544
2959,24674624611,2016000,520
2963,24461149085,2016000,516
2967,25575181006,2016000,539
2971,24496422053,2016000,516
2975,24824505166,2016000,525
2979,25001815310,2016000,528
2983,24691317499,2016000,521
2987,24254347491,2016000,512
2991,24611411973,2016000,518
2995,25961828173,2016000,547
2999,25456637079,2016000,537
3003,24390467207,2016000,515
3007,24439532455,2016000,516
3011,24643986483,2016000,519
3015,26414707735,2016000,557
3019,24090326161,2016000,508
3023,24354603001,2016000,514
3027,24382130187,2016000,514
3031,24670277256,2016000,520
3035,24217854820,2016000,511
3039,24059824504,2016000,508
3043,24702478977,2016000,521
3047,25102152672,2016000,531
3051,24948927651,2016000,526
3055,24516975729,2016000,516
3059,24488810296,2016000,516
3063,24846090342,2016000,524
3067,24331524265,2016000,514
3071,24498356555,2016000,516
3075,24368171608,2016000,514
3079,24634656694,2016000,520
3083,24032877439,2016000,507
3087,24694943316,2016000,521
3091,24639980133,2016000,520
3095,24971128930,2016000,526
3099,24419104676,2016000,515
3103,24660261448,2016000,521
3107,24665043051,2016000,520
3111,24523707765,2016000,517
3115,24343056525,2016000,514
3119,24956055196,2016000,526
3123,24586464653,2016000,519
3127,24812147461,2016000,523
3131,24800310982,2016000,523
3135,24300276573,2016000,512
3139,24922006891,2016000,526
3143,24865233072,2016000,524
3147,24804490792,2016000,524
3151,24187331953,2016000,511
3155,25483722292,2016000,538
3159,24664167338,2016000,520
3163,24121820537,2016000,509
3167,24938236197,2016000,527
3171,25613607902,2016000,541
3175,25119154102,2016000,530
3179,25045043010,2016000,528
3183,24434451550,2016000,514
3187,24850972661,2016000,525
3191,24451155276,2016000,515
3195,24508141631,2016000,517
3199,24565786862,2016000,518
3203,25232328130,2016000,532
3207,24235871320,2016000,511
3211,24946485797,2016000,526
3215,24182176779,2016000,510
3219,24400225906,2016000,514
3223,25135788181,2016000,530
3227,24461667675,2016000,516
3231,25338655369,2016000,535
3235,24495122353,2016000,517
3239,24176970479,2016000,511
3243,25027188133,2016000,528
3247,24511988206,2016000,516
3251,24614546218,2016000,518
3255,24927545316,2016000,525
3259,25944184589,2016000,547
3263,24874933145,2016000,525
3267,24602546403,2016000,518
3271,24084564395,2016000,508
3275,24451927900,2016000,516
3279,24974897816,2016000,526
3283,24633135774,2016000,520
3287,24490741995,2016000,516
3291,25197283644,2016000,530
3295,25001068389,2016000,527
3299,24466222284,2016000,516
3303,24703682836,2016000,520
3307,24636387402,2016000,520
3311,25140966485,2016000,531
3315,25527920598,2016000,538
3319,24325705948,2016000,513
3323,26150452319,2016000,550
3327,24353635671,2016000,513
3331,24370101043,2016000,514
3335,24564323902,2016000,518
3339,24930405075,2016000,526
3343,24094972583,2016000,509
3347,24865185653,2016000,525
3351,24882373133,2016000,525
3355,25730328594,2016000,543
3359,25965089096,2016000,548
3363,25005975204,2016000,527
3367,24583159046,2016000,519
3371,24728429278,2016000,522
3375,24095536741,2016000,509
3379,25082403255,2016000,530
3383,24512871445,2016000,516
3387,25345763032,2016000,534
3391,24602447222,2016000,519
3395,24314209415,2016000,512
3399,24888624307,2016000,525
3403,24491393384,2016000,517
3407,24073348626,2016000,508
3411,24817735669,2016000,523
3415,25720518613,2016000,543
3419,24967661249,2016000,527
3423,25624611467,2016000,539
3427,25736367569,2016000,543
3431,25366221683,2016000,534
3435,25353091336,2016000,534
3439,24222672758,2016000,511
3443,25596152065,2016000,540
3447,25006269412,2016000,527
3451,25651007025,2016000,541
3455,24669522177,2016000,520
3459,24113787772,2016000,508
3463,24477706414,2016000,516
3467,24506133051,2016000,516
3471,24597290439,2016000,520
3475,25341117083,2016000,534
3479,24976525515,2016000,527
3483,24529644964,2016000,517
3487,24977033288,2016000,527
3491,25811413805,2016000,544
3495,24640800459,2016000,520
3499,24119058931,2016000,508
3503,25118356512,2016000,529
3507,24832572888,2016000,524
3511,24563854962,2016000,518
3515,25535121596,2016000,538
3519,24626317468,2016000,520
3523,24147088416,2016000,510
3527,24519146529,2016000,518
3531,25230039807,2016000,532
3535,24777309063,2016000,522
3539,24426567610,2016000,516
3543,24356317827,2016000,515
3547,24371600395,2016000,514
3551,24416907792,2016000,515
3555,24358634380,2016000,514
3559,24883650663,2016000,524
3563,25477724427,2016000,537
3567,24498571375,2016000,517
3571,25123082576,2016000,530
3575,25104213943,2016000,530
3579,25185908055,2016000,530
3583,24816304776,2016000,524
3587,24711350213,2016000,521
3591,24007662306,2016000,507
3595,25781678543,2016000,542
3599,24882731771,2016000,526
3603,24475469414,2016000,516
3607,24760844677,2016000,523
3611,24191868052,2016000,510
3615,24854067380,2016000,524
3619,24422438698,2016000,514
3623,24329001948,2016000,513
3627,24890790595,2016000,524
3631,24755617114,2016000,523
3635,24534779268,2016000,518
3639,24496067506,2016000,517
3643,24624941995,2016000,519
3647,25026602419,2016000,527
3651,24768810052,2016000,523
3655,24753305823,2016000,523
3659,24648231981,2016000,519
3663,24412668095,2016000,516
3667,25067613856,2016000,529
3671,24647958679,2016000,519
3675,25009430231,2016000,527
3679,25010890244,2016000,528
3683,24887715601,2016000,526
3687,25923749604,2016000,547
3691,24350929724,2016000,514
3695,25361554280,2016000,535
3699,24921124561,2016000,526
3703,24437815336,2016000,515
3707,25278971469,2016000,533
3711,24679346065,2016000,520
3715,24913947755,2016000,526
3719,24725542642,2016000,522
3723,25220099287,2016000,532
3727,25089539701,2016000,529
3731,24172699938,2016000,510
3735,24857862830,2016000,524
3739,25336227585,2016000,534
3743,26566000590,2016000,561
3747,24232366829,2016000,511
3751,24900824322,2016000,525
3755,25932318005,2016000,548
3759,23969584167,2016000,506
3763,25849005525,2016000,546
3767,24543709432,2016000,517
3771,24399500065,2016000,515
3775,24340708049,2016000,514
3779,25509485146,2016000,538
3783,26848681215,2016000,565
3787,25411327457,2016000,535
3791,23991452013,2016000,506
3795,24363507608,2016000,514
3799,25556814093,2016000,539
3803,25335663803,2016000,535
3807,24744720025,2016000,522
3811,26659832446,2016000,562
3815,24437145580,2016000,516
3819,24306602848,2016000,513
3823,24804153453,2016000,523
3827,24387132131,2016000,515
3831,24844788973,2016000,523
3835,24543118415,2016000,518
3839,25205330226,2016000,531
3843,26611916733,2016000,561
3847,27086223072,2016000,572
3851,26733733031,2016000,564
