Flow ID,Completion Time,ReceivedBytes,PacketsSent
1699,25120557917,2016000,529
1703,24980176705,2016000,527
1707,25736830987,2016000,543
1711,25361874956,2016000,535
1715,24998201759,2016000,527
1719,24795721762,2016000,523
1723,24797647941,2016000,522
1727,24318750807,2016000,512
1731,24872185184,2016000,525
1735,25643891687,2016000,541
1739,24248351110,2016000,511
1743,24870080328,2016000,525
1747,24345250854,2016000,513
1751,24890156422,2016000,524
1755,24369220070,2016000,514
1759,24836731709,2016000,524
1763,24544391523,2016000,517
1767,25392878644,2016000,536
1771,24739106671,2016000,522
1775,25023707027,2016000,527
1779,25195517750,2016000,532
1783,26191615309,2016000,552
1787,24703686268,2016000,522
1791,25104440231,2016000,529
1795,24716994849,2016000,521
1799,26139789159,2016000,551
1803,25210660499,2016000,532
1807,24629169830,2016000,520
1811,24545832340,2016000,519
1815,24771377953,2016000,522
1819,24978736303,2016000,528
1823,24267262318,2016000,512
1827,24436876901,2016000,516
1831,25459932406,2016000,537
1835,24403733906,2016000,514
1839,24469852533,2016000,516
1843,24766324356,2016000,523
1847,24337390445,2016000,514
1851,24719874885,2016000,520
1855,24701185617,2016000,522
1859,25754654611,2016000,543
1863,26187808177,2016000,552
1867,24428727534,2016000,515
1871,24494558299,2016000,518
1875,25180256187,2016000,531
1879,24618245463,2016000,520
1883,24512255057,2016000,517
1887,24656888056,2016000,520
1891,24470716882,2016000,515
1895,24691620219,2016000,520
1899,24891476803,2016000,525
1903,25343042512,2016000,534
1907,25179318840,2016000,532
1911,24746810350,2016000,523
1915,25886685362,2016000,545
1919,25410718986,2016000,536
1923,24172621540,2016000,510
1927,25348220407,2016000,534
1931,25100557163,2016000,529
1935,25102568536,2016000,528
1939,24200038576,2016000,510
1943,24474999353,2016000,516
1947,24124629093,2016000,509
1951,25414776307,2016000,536
1955,25495524734,2016000,539
1959,24946503941,2016000,526
1963,25286286410,2016000,533
1967,24097755145,2016000,508
1971,25617213813,2016000,542
1975,25414843563,2016000,536
1979,25687450122,2016000,543
1983,24712955202,2016000,521
1987,25152091330,2016000,530
1991,26258598878,2016000,552
1995,24602194137,2016000,520
1999,25386208166,2016000,535
2003,25474804498,2016000,537
2007,24895527473,2016000,525
2011,24690553858,2016000,521
2015,24951811590,2016000,527
2019,25090688806,2016000,529
2023,24305086108,2016000,512
2027,24819827660,2016000,523
2031,24440623027,2016000,516
2035,26341895661,2016000,555
2039,24742499009,2016000,521
2043,24653429820,2016000,520
2047,25546191553,2016000,540
2051,25276751539,2016000,533
2055,24872155078,2016000,524
2059,24512492416,2016000,517
2063,24334214990,2016000,514
2067,25503380263,2016000,538
2071,24848368569,2016000,525
2075,24059149831,2016000,508
2079,24251710452,2016000,512
2083,25090985021,2016000,528
2087,25034155596,2016000,528
2091,24543456716,2016000,517
2095,24399109665,2016000,514
2099,24728019462,2016000,522
2103,24431353631,2016000,515
2107,24298149351,2016000,513
2111,24771839467,2016000,523
2115,25436127684,2016000,536
2119,25187197029,2016000,531
2123,26185553735,2016000,551
2127,25764536944,2016000,543
2131,24772637571,2016000,522
2135,24723330000,2016000,520
2139,24043460347,2016000,507
2143,24391501513,2016000,515
2147,25911219271,2016000,546
2151,24626761928,2024000,520
2155,25442030904,2016000,536
2159,25117436441,2016000,530
2163,26657192253,2016000,562
2167,24772881402,2016000,522
2171,24202804709,2016000,510
2175,24095427472,2016000,508
2179,24687766450,2016000,521
2183,24271853259,2016000,512
2187,25090911085,2016000,530
2191,25322458080,2016000,534
2195,24472466809,2016000,516
2199,24532576392,2016000,517
